Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.8,909.1,697.25,79.38,660,426,779,0.3,0.0022,0.09,0.008,0.001,0.075,168,,,,
1.2,932.49,700.39,72.76,660,427,865,0.3,0.0026,0.06,0.01,0.001,0.066,154,,,,
0.8,904.37,696.66,79.38,660,426,808,0.5,0.0026,0.07,0.011,0.001,0.061,167,,,,
0.7,916.15,698.89,81.88,660,428,789,0.3,0.0019,0.07,0.005,0.001,0.065,157,,,,
0.7,916.9,701.68,81.88,660,424,798,0.3,0.0023,0.07,0.004,0.001,0.061,164,,,,
0.65,918.28,700.62,82.24,670,426,884,0.3,0.0023,0.07,0.004,0.001,0.061,172,,,,
0.65,916.8,701.72,82.24,660,427,749,0.3,0.0019,0.07,0.005,0.001,0.065,155,,,,
0.8,920.46,698.46,79.38,660,426,808,0.3,0.0027,0.06,0.005,0.001,0.064,166,,,,
0.8,920.15,700.74,79.38,660,426,808,0.3,0.0026,0.07,0.011,0.001,0.061,173,,,,
0.96,901.77,567.25,67,670,425,1045,0.8,0.03,0.16,0.005,0.001,0.001,166,,,,
0.96,901.44,565.87,67,670,430,990,0.8,0.03,0.16,0.005,0.001,0.001,160,,,,
0.96,901.51,566.06,67,670,427,1059,0.8,0.03,0.16,0.005,0.001,0.001,171,,,,
0.7,925.65,700.15,81.88,660,425,750,0.3,0.0023,0.07,0.004,0.001,0.061,165,,,,
0.8,903.35,700.88,79.38,660,426,779,0.3,0.0026,0.07,0.011,0.001,0.061,157,,,,
0.78,892.38,568.61,73.03,670,428,1050,0.8,0.04,0.14,0.008,0.001,0.001,155,,,,
0.96,904.57,569.08,67,670,429,1009,0.8,0.04,0.15,0.007,0.001,0.001,161,,,,
0.78,880,567.54,71.11,670,428,1084,0.8,0.042,0.18,0.006,0.001,0.001,169,,,,
0.7,926.51,699.99,81.88,660,425,750,0.3,0.0027,0.06,0.008,0.001,0.067,166,,,,
0.7,929.96,697.13,81.88,660,428,780,0.3,0.0022,0.06,0.007,0.001,0.065,174,,,,
0.7,926.6,699.81,81.88,660,424,725,0.3,0.0019,0.07,0.005,0.001,0.065,168,,,,
0.6,917.53,699.73,82.17,670,426,990,0.3,0.0024,0.08,0.01,0.001,0.0719,151,,,,
0.8,910.61,696.27,79.38,670,439,921,0.3,0.0026,0.07,0.012,0.001,0.063,165,,,,
1,912.42,568.74,72.87,670,426,1035,0.8,0.04,0.14,0.008,0.001,0.001,163,,,,
0.65,911.02,699.68,80.71,660,437,836,0.3,0.0032,0.07,0.008,0.001,0.067,175,,,,
1,888.53,568.76,72.87,670,427,1020,0.8,0.04,0.14,0.008,0.001,0.001,164,,,,
0.7,910.53,697.97,81.88,660,424,798,0.3,0.0021,0.08,0.006,0.001,0.07,173,,,,
0.7,914.53,698.51,81.88,660,424,798,0.3,0.0024,0.07,0.006,0.001,0.0649,172,,,,
0.7,912.83,698.99,81.88,660,428,825,0.3,0.0023,0.08,0.008,0.001,0.069,158,,,,
0.9,924.56,701.05,76.88,660,430,848,0.3,0.0023,0.07,0.005,0.001,0.067,177,,,,
0.9,920.6,698.69,76.88,660,425,750,0.3,0.0024,0.07,0.004,0.001,0.062,166,,,,
0.9,924.67,701.21,76.88,660,426,825,0.3,0.0025,0.07,0.003,0.001,0.07,169,,,,
0.6,922.81,700.29,82.17,660,427,810,0.3,0.0024,0.07,0.004,0.001,0.062,161,,,,
0.6,921.64,698.09,82.17,660,426,900,0.3,0.0024,0.07,0.004,0.001,0.062,178,,,,
0.6,913.08,698.38,82.17,660,428,788,0.3,0.0025,0.07,0.003,0.001,0.07,161,,,,
0.65,926.04,700.46,80.71,660,428,825,0.3,0.0023,0.07,0.005,0.001,0.067,175,,,,
0.65,914.05,699.68,80.71,660,426,825,0.3,0.0024,0.07,0.0049,0.001,0.074,174,,,,
0.65,923.08,701.24,80.71,660,428,808,0.3,0.0027,0.08,0.0089,0.001,0.078,171,,,,
0.7,911.2,697.76,81.88,660,426,810,0.3,0.002,0.06,0.005,0.001,0.069,174,,,,
0.7,922.92,698.89,81.88,660,425,815,0.3,0.002,0.08,0.005,0.001,0.073,178,,,,
0.7,924.4,702.63,81.88,670,429,980,0.3,0.0023,0.08,0.005,0.001,0.078,174,,,,
0.7,920.48,697.92,81.88,660,428,812,0.3,0.0023,0.08,0.008,0.001,0.069,162,,,,
0.7,927.73,702.2,81.88,660,425,810,0.3,0.0021,0.08,0.006,0.001,0.07,169,,,,
0.7,922.56,700.27,81.88,660,427,788,0.3,0.0024,0.07,0.004,0.001,0.062,162,,,,
0.7,936.01,697.24,81.88,660,424,810,0.3,0.0024,0.07,0.004,0.001,0.062,165,,,,
0.7,911.97,695.26,81.88,660,369,839,0.3,0.0022,0.09,0.008,0.001,0.075,160,,,,
