,Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa)
1139,0.7,909.44,699.65,81.88,660.0,427.0,780.0,0.5,0.0022,0.06,0.004,0.001,0.065,174.0
1140,0.7,914.2,697.94,81.88,660.0,426.0,780.0,0.3,0.0022,0.05,0.006,0.001,0.062,158.0
1141,1.2,896.26,565.89,69.2,670.0,427.0,922.0,0.8,0.04,0.16,0.004,0.001,0.001,168.0
1142,1.2,899.44,560.15,69.2,670.0,427.0,922.0,0.8,0.035,0.2,0.0049,0.001,0.001,178.0
1143,0.9,894.74,700.34,78.49,660.0,428.0,780.0,0.3,0.0019,0.05,0.003,0.001,0.063,160.0
1144,0.7,917.63,700.26,81.88,660.0,427.0,780.0,0.3,0.0026,0.06,0.006,0.001,0.056,162.0
1145,0.7,914.22,699.65,81.88,660.0,427.0,780.0,0.3,0.0021,0.06,0.006,0.001,0.06,153.0
1146,1.2,918.29,697.91,72.76,660.0,428.0,780.0,0.3,0.0022,0.06,0.005,0.001,0.052,155.0
1147,0.9,913.68,698.34,76.88,660.0,428.0,780.0,0.3,0.0026,0.05,0.006,0.001,0.064,156.0
1148,0.7,919.78,701.94,81.88,660.0,428.0,780.0,0.3,0.0025,0.05,0.005,0.001,0.065,175.0
1149,0.7,907.53,696.94,81.88,660.0,429.0,780.0,0.3,0.0026,0.05,0.006,0.001,0.064,165.0
1150,0.75,896.26,697.05,80.63,660.0,424.0,780.0,0.3,0.0017,0.05,0.004,0.001,0.064,150.0
1151,0.7,908.43,690.26,81.88,660.0,426.0,780.0,0.3,0.0022,0.06,0.005,0.001,0.064,172.0
1152,0.6,908.81,694.0,82.17,660.0,427.0,780.0,0.3,0.0023,0.06,0.005,0.001,0.06,162.0
1153,0.8,917.38,697.84,79.38,660.0,425.0,776.0,0.3,0.0023,0.08,0.002,0.001,0.06,158.0
1154,0.9,914.25,698.14,79.44,660.0,432.0,778.0,0.3,0.0023,0.04,0.005,0.001,0.056,161.0
1155,0.6,910.43,696.26,82.17,660.0,428.0,780.0,0.3,0.0017,0.05,0.004,0.001,0.064,169.0
1156,0.75,913.29,696.65,80.63,660.0,425.0,750.0,0.3,0.0027,0.09,0.006,0.001,0.057,176.0
1157,1.2,899.38,573.82,67.58,670.0,244.0,930.0,0.8,0.035,0.16,0.005,0.001,0.001,170.0
1158,1.4,901.22,570.19,70.13,670.0,427.0,909.0,0.8,0.03,0.14,0.003,0.001,0.001,178.0
1159,1.4,898.43,565.63,70.13,670.0,427.0,909.0,0.8,0.05,0.18,0.006,0.001,0.001,153.0
1160,1.2,902.43,569.45,69.2,670.0,427.0,943.0,0.8,0.035,0.17,0.004,0.001,0.001,178.0
1161,1.2,901.3,582.05,69.2,670.0,427.0,943.0,0.8,0.035,0.17,0.006,0.001,0.001,170.0
1162,0.7,914.84,698.69,81.88,660.0,429.0,780.0,0.3,0.0022,0.06,0.004,0.001,0.061,161.0
1163,0.7,918.2,699.78,81.88,660.0,428.0,780.0,0.3,0.0019,0.05,0.002,0.001,0.06,175.0
1164,0.7,915.82,702.52,81.88,660.0,425.0,780.0,0.3,0.0019,0.05,0.002,0.001,0.06,172.0
1165,0.8,903.85,569.94,70.39,670.0,425.0,930.0,0.8,0.04,0.15,0.005,0.001,0.001,165.0
1166,0.8,905.98,563.45,70.39,670.0,425.0,930.0,0.8,0.04,0.15,0.005,0.001,0.001,170.0
